vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage,unix_time,acc_speed,acce,dece,tierd_drive,daisu_hire,max_daisu,off_flip,over_speed,change_angle,rapid_change_road,danger_score
AA00001,AAA9102001,120,115.944523,28.651165,1,0,0,0,0,2018/8/4 1:22,0,4678,1533316922,0,0,0,0,0,0,0,0,0,0,0
AA00001,AAA9102001,113,115.944523,28.651151,1,0,0,0,0,2018/8/4 1:23,0,4678,1533317033,0,0,0,0,0,0,0,0,7,0,0
AA00001,AAA9102001,114,115.944571,28.65114,1,0,0,0,0,2018/8/4 1:23,11,4678,1533317034,0.555555556,0,0,0,0,0,0,0,1,0,0
AA00001,AAA9102001,110,115.944603,28.651126,1,0,0,0,0,2018/8/4 1:23,12,4678,1533317035,0.833333333,0,0,0,0,0,0,0,4,0,0
AA00001,AAA9102001,108,115.944643,28.651118,1,0,0,0,0,2018/8/4 1:23,14,4678,1533317036,0.833333333,0,0,0,0,0,0,0,2,0,0
AA00001,AAA9102001,108,115.944691,28.651106,1,0,0,0,0,2018/8/4 1:23,17,4678,1533317037,0.555555556,0,0,0,0,0,0,0,0,0,0
AA00001,AAA9102001,108,115.944753,28.65109,1,0,0,0,0,2018/8/4 1:23,21,4678,1533317038,0.185185185,0,0,0,0,0,0,0,0,0,0
AA00001,AAA9102001,112,115.944816,28.651071,1,0,0,0,0,2018/8/4 1:23,23,4678,1533317039,0,0,0,0,0,0,0,0,4,0,0
AA00001,AAA9102001,112,115.944878,28.65105,1,0,0,0,0,2018/8/4 1:24,23,4678,1533317040,0.277777778,0,0,0,0,0,0,0,0,0,0
AA00001,AAA9102001,112,115.944941,28.65103,1,0,0,0,0,2018/8/4 1:24,23,4678,1533317041,0.37037037,0,0,0,0,0,0,0,0,0,0
AA00001,AAA9102001,115,115.945001,28.651006,1,0,0,0,0,2018/8/4 1:24,23,4678,1533317042,0.462962963,0,0,0,0,0,0,0,3,0,0
AA00001,AAA9102001,115,115.94507,28.650981,1,0,0,0,0,2018/8/4 1:24,26,4678,1533317043,0.37037037,0,0,0,0,0,0,0,0,0,0
AA00001,AAA9102001,115,115.945141,28.650955,1,0,0,0,0,2018/8/4 1:24,27,4678,1533317044,0.462962963,0,0,0,0,0,0,0,0,0,0
AA00001,AAA9102001,115,115.945213,28.650925,1,0,0,0,0,2018/8/4 1:24,28,4678,1533317045,0.462962963,0,0,0,0,0,0,1,0,0,3
AA00001,AAA9102001,116,115.94529,28.650891,1,0,0,0,0,2018/8/4 1:24,30,4678,1533317046,0.277777778,0,0,0,0,0,0,1,1,0,3
AA00001,AAA9102001,116,115.94537,28.650856,1,0,0,0,0,2018/8/4 1:24,32,4678,1533317047,0.092592593,0,0,0,0,0,0,1,0,0,3
AA00001,AAA9102001,117,115.945453,28.650818,1,0,0,0,0,2018/8/4 1:24,33,4678,1533317048,-0.092592593,0,0,0,0,0,0,1,1,0,3
